Area,Time
7148,60
7200,60
7300,60
7299,60
8341,60
1295,30
1184,30
3722,30
7252,30
5086,30
12000,90
10000,90
13000,90
11000,90
14000,90
1883,30
2086,30
1945,30
1740,30
1025,30
12129,90
12170,90
12097,90
11983,90
2105,90
12114,90
13206,90
13137,90
22996,120
10808,60
1212,30
1712,30
13761,120
12197,120
12160,90
13180,120
4577,60
5351,60
6717,60
11182,90
10335,90
1617,30
1897,30
1665,30
1817,30
11579,90
11215,120
16187,120
7487,90
1441,30
1457,30
2101,30
1481,30
1800,30
2189,30
2200,30
2181,30
1185,30
1121,30
1281,30
1153,30
1216,30
3819,30
1518,30
2321,30
3919,30
3957,30
1667,30
2359,30
6197,30
5597,30
4119,30
4153,30
10020,60
2156,30
3042,30
2152,30
3333,30
8449,60
9883,60
9587,60
9846,60
2313,30
14404,120
15053,120
16256,120
25000,120
15583,120
14143,30
1248,30
1451,30
1559,30
2320,30
1509,30
6112,30
6382,30
2231,30
5146,60
7382,60
10000,90
2681,30
3292,30
4295,30
4717,30
7398,60
7748,30
8241,60
1606,30
9667,60
7992,60
8601,60
8334,90
6368,30
4981,30
1527,30
4191,30
3102,30
1252,30
1242,30
1991,30
1656,30
1120,30
1024,30
1624,30
1152,30
2090,30
7252,30
7898,30
6884,30
10054,60
8154,30
2156,60
1414,30
6181,30
5092,30
1120,30
2725,30
1289,30
3282,30
2656,30
2551,30
8200,30
4058,30
3696,30
2796,30
1341,30
1024,30
2381,30
1447,30
2119,30
5716,30
1245,30
1334,30
2884,30
8100,60
9021,60
10387,90
8729,60
12122,90
10687,90
10781,120
11217,120
2587,30
3777,30
2078,30
1840,30
